,strategy,windows_positive,pooled_sharpe
0,MaxSharpe,0.75,0.702182071387265
1,BuyHold,0.75,0.3905367846596115
2,EqualWeight,0.75,0.3770989070063454
3,HRP,0.75,0.3620509069231094
4,InverseVol,0.75,0.3586357677729013
5,RiskParity,0.75,0.35357926166787784
6,MA_20_50,0.75,0.32645405457976223
7,MinVariance,0.75,0.28682163532977517
8,EqualWeight+Regime,0.75,0.28308769764952146
9,Selected_OOS,0.875,0.27902568330543365
10,MomentumTilt,0.75,0.2759148965622867
11,RiskParity+Regime,0.75,0.25733853645284555
12,PPO_s2,0.75,0.24611951159124643
13,HRP+Regime,0.75,0.24432241077412378
14,NIFTY50_Index,0.625,0.20995299502553483
15,PPO_s1,0.75,0.2049040610176784
16,PPO_ensemble,0.75,0.18846830230500203
17,PPO_s0,0.75,0.11239917222866933
18,Breakout_20,0.75,0.006710165214266479
19,MomentumPullback,0.75,-0.5156351315797724
20,VIX_Regime_Mom,0.625,-0.765373803994677
21,Sentiment_Momentum,0.375,-0.9714796170323093
22,Random,0.375,-2.0198654879237052
23,RSI_35_60,1.0,
