,strategy,windows_positive,pooled_sharpe
0,MaxSharpe,0.75,0.728888506096597
1,BuyHold,0.75,0.41518136107554965
2,EqualWeight,0.75,0.4074113533764059
3,HRP,0.75,0.3763557800796355
4,InverseVol,0.75,0.3725702022365527
5,RiskParity,0.75,0.37030787031945295
6,MA_20_50,0.75,0.33503647190097363
7,Selected_OOS,0.875,0.3077823664310457
8,MinVariance,0.75,0.3029434168571845
9,MomentumTilt,0.75,0.2871301724984484
10,PPO_s1,0.75,0.2828104015123783
11,PPO_s2,0.75,0.2826930874645598
12,PPO_ensemble,0.75,0.2771936336179291
13,HRP+Regime,0.75,0.26910453923564925
14,PPO_s0,0.75,0.2641279852754195
15,EqualWeight+Regime,0.75,0.24927941109405688
16,RiskParity+Regime,0.75,0.22815945250812594
17,Breakout_20,0.75,0.05405061969267891
18,MomentumPullback,0.75,-0.544911818292038
19,VIX_Regime_Mom,0.625,-0.705422887833991
20,Sentiment_Momentum,0.375,-0.911330520534962
21,Random,0.375,-1.9956559922445813
22,RSI_35_60,1.0,
