,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,-0.02136044952044669,-1.081862440789727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9090548291318612,-0.8449214467953436,-0.9026227527074826,-0.9792335187593815,0.0,-0.5021994277060293,0.0,0.0,-0.02136044952044669,-0.5893281638042258,0.0
2022-03-22,0.0,-0.08325265233556367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004308082008908087,0.0,0.0,-0.2238520591192117,0.0,0.0,0.0,0.0,0.0
2022-03-23,-0.055123971495396606,-0.4611616297388821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3411316886854032,-0.2976927189835554,-0.3473260660344035,-0.3824122177846223,0.0,-0.3678190692972816,0.0,0.0,-0.055123971495396606,-0.2825196491921034,-0.004678638258470702
2022-03-24,0.0,-0.5473625611098876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40822344642823527,-0.33284907862403124,-0.4892514683188742,-0.406728537645451,0.0,-0.19608869935369144,0.0,0.0,0.0,-0.3076173752679101,0.0
2022-03-25,0.0,-0.9003864418974827,0.0,0.0,0.0,0.0,0.0,-0.09337974095624535,0.0,0.0,0.0,0.0,-0.791765848551873,-0.7700852835927252,-0.7932948887969693,-0.8160470096128858,0.0,-0.16475148813952512,0.0,0.0,0.0,-0.596515872617176,-0.005044939127629711
2022-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009403973280697198,-0.0021046501912369564,-0.012737034327559016,-0.01762910140903351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028963874303400416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11862554838811823,0.0,0.0,0.0,0.0,-0.028996987443119515
2022-03-30,-0.02429562246187844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02429562246187844,0.0,0.0
2022-03-31,-0.006002172954766571,0.0,-0.11631019537180487,-0.07786377631828767,-0.1172667347742129,-0.07727782725730492,-0.11423618854277118,-0.04663284919580457,-0.12028373560767358,-0.1132533171643968,0.0,-0.12055576160949766,0.0,0.0,0.0,0.0,0.0,-0.015128281867693438,-0.11220103709683737,-0.07863147486838473,-0.006002172954766571,-0.058631405615794385,-0.0466768066500145
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
