,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-03-17,100010.1833655766,99882.00345491678,100024.99312242777,100024.99312242777,100024.99312242777,100024.99312242777,100024.99312242777,100010.1833655766,100024.99312242777,100024.99312242777,100024.99312242778,100024.99312242777,100990.4785820109,100677.4307156372,101029.45623269652,101264.54879769897,100024.99312242778,99984.21626091655,100024.99312242777,100024.99312242777,100010.1833655766,99923.96097078592,100010.1833655766
2022-03-21,99988.82074084348,98801.41757442974,100049.99249141722,100049.99249141722,100049.99249141722,100049.99249141722,100049.99249141722,100016.58593109006,100049.99249141722,100049.99249141722,100049.99249141722,100049.99249141722,100072.41975949774,99826.78551143825,100117.54137380356,100272.93239325145,100049.99249141722,99482.09609905788,100049.99249141722,100049.99249141722,99988.82074084348,99335.08092639633,100016.58593109006
2022-03-22,100598.67993677067,99798.84903783466,100074.99810852956,100074.99810852956,100074.99810852956,100074.99810852956,100074.99810852956,100250.77351549536,100074.99810852956,100074.99810852956,100074.99810852956,100074.99810852956,101111.32000514363,100844.23175101387,101025.10380086886,101464.62446354814,100074.99810852956,99760.39953402229,100074.99810852956,100074.99810852956,100598.67993677067,100588.52603341255,100235.67046602635
2022-03-23,100543.22594911758,99421.38597996824,100100.0099753264,100100.0099753264,100100.0099753264,100100.0099753264,100100.0099753264,100349.21439729929,100100.0099753264,100100.0099753264,100100.0099753264,100100.0099753264,100766.39725175798,100544.0258155762,100678.55459682755,101076.61134287025,100100.0099753264,99616.45524722147,100100.0099753264,100100.0099753264,100543.22594911758,100304.34368253544,100230.98080159929
2022-03-24,100837.89240326999,99335.28676271808,100125.02809336974,100125.02809336974,100125.02809336974,100125.02809336974,100125.02809336974,100559.57596848848,100125.02809336974,100125.02809336974,100125.02809336974,100125.02809336974,100698.55988988956,100508.57265478514,100535.16813464348,101051.93888024011,100125.02809336974,99788.15851169154,100125.02809336974,100125.02809336974,100837.89240326999,100279.09824980788,100409.04198982114
2022-03-25,100883.6495634078,98982.67943791313,100150.05246422195,100150.05246422195,100150.05246422195,100150.05246422195,100150.05246422195,100465.67369694241,100150.05246422195,100150.05246422195,100150.05246422195,100150.05246422195,100310.7551043229,100067.64516294717,100227.99472022317,100636.62542979841,100150.05246422195,99819.49077672206,100150.05246422195,100150.05246422195,100883.6495634078,99988.49950959158,100403.97641477412
2022-03-28,101463.78544012307,99885.10227466747,100175.0830894458,100175.0830894458,100175.0830894458,100175.0830894458,100175.0830894458,100620.94996672755,100175.0830894458,100175.0830894458,100175.08308944582,100175.0830894458,101101.81152362659,100842.10933269747,101016.58807617522,101446.73716200716,100175.08308944582,99985.84592906963,100175.0830894458,100175.0830894458,101463.78544012307,100777.01124080044,100559.237264482
2022-03-29,101672.47215508576,100366.00882529849,100200.11997060447,100200.11997060447,100200.11997060447,100200.11997060447,100200.11997060447,100591.8062412563,100200.11997060447,100200.11997060447,100200.11997060446,100200.11997060447,101540.50650218005,101279.47172688037,101464.92782218588,101877.11995747393,100200.11997060446,99867.23717102577,100200.11997060447,100200.11997060447,101672.47215508576,101113.46153213449,100530.07811507952
2022-03-30,101647.77019510331,101045.88044363711,100225.16310926148,100225.16310926148,100225.16310926148,100225.16310926148,100225.16310926148,100669.07231944146,100225.16310926148,100225.16310926148,100225.16310926148,100225.16310926148,102281.13149580806,101995.8911319297,102155.4392338764,102692.06412161818,100225.16310926148,100111.76544598976,100225.16310926148,100225.16310926148,101647.77019510331,101524.09740999146,100607.32876547855
2022-03-31,101666.36959745963,101134.98235802607,100108.5910262374,100147.12401244346,100107.63233306112,100147.71128084556,100110.66970296469,100622.12746275992,100104.60853905478,100111.65478740682,100250.21250698078,100104.33590055075,102400.44381474533,102099.92103081144,102187.2115110748,102914.19890234979,100250.21250698078,100096.62025593036,100112.7094368209,100146.35458531942,101666.36959745963,101464.57240464124,100560.36847715495
2022-04-01,101945.71341515091,102237.67076970846,101222.2989007288,100952.75452988908,101085.7103505553,100855.64380621814,101172.06828934792,100805.7410204628,100704.74142202528,101023.9186222664,100275.26816532675,101162.46070268108,103380.46243826371,102943.0117002194,103244.0546029393,103954.32101163242,100275.26816532675,100945.5688523091,101131.73565708013,100927.39451916509,101945.71341515091,102419.24854113911,100743.96659935896
2022-04-04,102083.89887326381,104014.69366459541,103010.83698015951,102228.15777730754,102839.15611540276,102146.03507543623,102970.72131592377,100815.535101201,100748.67851071074,102884.72685539491,100300.3300858641,101951.45648687538,104949.21106741072,104181.91445554528,105218.70638867983,105447.01235800706,100300.3300858641,101207.04162156388,102825.44726502831,102231.13355775409,102083.89887326381,104196.31681798075,100753.74524074048
2022-04-05,101757.42002346701,103683.13365384215,102693.94725375413,101992.81780975487,102674.17556029958,102008.25938709216,102636.93557601568,100725.44375118216,100037.48639451402,102866.08977133699,100325.39827015792,102185.98430969674,104632.13028012666,103932.67500565149,104841.59116260876,105122.12467211964,100325.39827015792,101067.93972486805,102577.17008172008,102039.13295034821,101757.42002346701,103864.80220052459,100663.63844750615
2022-04-06,101392.28608193733,103260.3836513384,102295.12335868659,101722.4462823848,102200.65619753176,101662.7609860675,102158.38846841583,100664.98284799804,99740.15170678326,102180.65797446156,100336.00976701493,102517.36117253252,104194.16093379197,103453.13094739818,104570.50689319333,104558.8449607843,100350.4727197737,100674.81233135048,102158.65070457733,101722.74239835788,101392.28608193733,103427.63464990434,100588.69914448803
2022-04-07,100832.3425429789,102385.03810905972,101451.82727014343,101086.68528553189,101323.79889387744,101026.26442119904,101277.06809137942,100104.26057021804,98748.3274016675,101375.40540287779,100264.56888548516,101272.09058494873,103307.08858971638,102549.75742021677,103792.62488969491,103578.88345923745,100375.5534362774,100238.06359011638,101327.75589398586,101127.33812296898,100832.3425429789,102648.84889216251,100124.47578431864
2022-04-08,101613.86231706062,103201.37305857158,102257.63258135332,101686.07893284624,102170.43977002107,101644.50013121626,102079.31828656982,100724.6695560686,98931.4253444485,102286.03246564216,100291.33831106032,103501.73613036398,103995.62943783338,103278.99833357376,104514.19944856895,104193.69053135738,100400.64042123526,100210.61057268786,102130.78315068797,101737.97203506483,101613.86231706062,103434.19609429683,100713.83614065286
2022-04-11,101275.10877811216,102492.18766376378,101594.00392253215,101185.66009225055,101236.46316442052,100984.3315809718,101362.93544081647,100306.05600328832,97464.82938527134,101351.16867947718,99937.0210892924,103261.25197142053,103227.00613215865,102546.15775609337,103820.91994003438,103313.94070034825,100425.73367621402,99691.32758131286,101408.97377730584,101158.54489196437,101275.10877811216,102955.07447998022,100525.22547100869
2022-04-12,100666.74576133996,101542.13811367248,100681.54474835882,100512.24974812269,100118.37334961574,100195.24509908793,100441.31536721834,99651.71017766585,96088.41330348035,100304.8703189179,99784.53890233916,101870.95317163954,102194.17542889903,101362.52420650465,102923.10317549777,102296.8989046947,100450.8332027807,99255.18593950813,100465.64204399101,100442.16826641634,100666.74576133996,102150.8079422997,100030.38142637404
2022-04-13,101067.33841816158,101681.58491251942,100817.48574129537,100623.99514826841,100355.69724218965,100364.5337768824,100559.75872506587,99546.06460734693,96375.38950146675,100571.49773564785,99512.47268848371,102657.85999473749,102331.23174156548,101456.73179513762,103036.28340863509,102500.68002092376,100475.93900250278,99120.63285877167,100629.30409467433,100590.2747150564,101067.33841816158,102312.78329803635,99989.62331434111
2022-04-18,100899.90592848204,99843.10456794444,99093.83157062034,99335.92116500527,98545.26034270959,99023.11289805587,98742.05030450887,98578.90982381812,92526.32414138738,98722.1355245146,98515.74839387252,102171.98086361057,100505.46353182521,99439.81740215288,101294.56379896893,100782.00939435375,100501.0510769481,98217.60772046586,98913.03253080619,99290.77274666863,100899.90592848204,101625.38836165395,99405.78629438397
2022-04-19,100254.6018070523,98667.612363222,97985.60542978218,98551.80984228187,96790.30056629369,97757.32529757867,97531.05332587297,98420.09569961044,90996.87377846551,96401.23461337366,98805.80954944094,101472.60380320575,99525.92770460823,98704.54411726049,100183.89394389017,99689.34505267395,100526.16942768496,97921.14791040325,97623.5614833781,98265.22309171707,100254.6018070523,101059.25987787223,99033.75863910884
2022-04-20,100244.90767843198,99498.64375984941,98778.36437148228,99107.99795732328,97882.59885784525,98524.75236632949,98365.49548091939,99006.3253670474,92192.27614468221,97608.23442495351,99306.4280003353,102212.73462716634,100461.93657725824,99989.72059276825,100944.22614727273,100451.8629917337,100551.29405628196,97877.54386876478,98488.42148535908,98917.54991450366,100244.90767843198,100978.41177008608,98911.83569899604
2022-04-21,100636.73616723985,100687.1330230348,99949.00187420333,99954.67281225699,99063.87488297072,99356.20016559723,99538.5448300617,99546.60928943873,93190.1619773897,98777.295573389,99265.22501039668,102957.52569454575,101623.0743021137,101106.18937613307,102110.92989537612,101652.10363483183,100576.42496430814,98225.63491104024,99622.47351405415,99788.83918352972,100636.73616723985,101003.6494281654,99285.45746637824
2022-04-22,100082.72370200942,99407.36469874812,98680.9991849827,99070.56303001146,97792.75858559686,98473.06722493266,98316.44572765881,99009.15049192109,91890.57040017063,97498.21771090088,99009.59505535114,102601.26889076464,100301.06669726528,99812.68695878753,100849.00519796935,100241.5079350389,100601.56215333294,97609.13093661315,98409.75530458083,98838.47783165218,100082.72370200942,101028.89339392348,98767.94950088214
2022-04-25,99567.30634293944,98372.13230512723,97666.23258564786,98331.37216332478,96637.59334959192,97680.48733389648,97292.66228514975,98336.52559744449,90963.99811717411,96345.92649679005,99011.46978805955,100969.59275590673,99270.71040347061,98775.38039846823,99848.15796308292,99188.59284886063,100626.70562492612,96569.20263927589,97383.69111244244,98065.59757322221,99567.30634293944,100993.89369032966,98275.68406878617
