,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-03-17,1000100.3526685219,998760.306953251,1000249.9312242776,1000249.9312242776,1000249.9312242776,1000249.9312242776,1000249.9312242776,1000100.3526685219,1000249.9312242776,1000249.9312242776,1000249.9312242774,1000249.9312242776,1018361.9883565083,1009314.8126169331,1006709.6405499878,1010754.8853960113,1010479.9119048002,1000249.9312242774,999805.3749670754,1000249.9312242776,1000249.9312242776,1000100.3526685219,999205.2772126504,1000100.3526685219
2022-03-21,999863.6126319811,987441.3576415475,1000499.9249141722,1000499.9249141722,1000499.9249141722,1000499.9249141722,1000499.9249141722,1000162.5032300036,1000499.9249141722,1000499.9249141722,1000499.9249141722,1000499.9249141722,1008379.7979584137,999529.6356584672,997352.5246092012,1001140.6255112512,1000095.7568549492,1000499.9249141722,994389.1546795235,1000499.9249141722,1000499.9249141722,999863.6126319811,993086.2519728929,1000162.5032300036
2022-03-22,1006303.4862923425,997915.1914145921,1000749.9810852956,1000749.9810852956,1000749.9810852956,1000749.9810852956,1000749.9810852956,1002525.3126802339,1000749.9810852956,1000749.9810852956,1000749.9810852958,1000749.9810852956,1020037.9019255748,1009152.0390174704,1007063.2518096861,1010589.245146593,1009803.6200961324,1000749.9810852958,997266.9454527755,1000749.9810852956,1000749.9810852956,1006303.4862923425,1006181.7974239447,1002372.7718690382
2022-03-23,1005704.2109034646,994011.4982291394,1001000.099753264,1001000.099753264,1001000.099753264,1001000.099753264,1001000.099753264,1003518.552839299,1001000.099753264,1001000.099753264,1001000.0997532638,1001000.099753264,1015923.134867321,1005597.1728546888,1003901.359580591,1007037.8009628849,1005852.3580205907,1001000.0997532638,995799.3841874286,1001000.099753264,1001000.099753264,1005704.2109034646,1003257.5136081161,1002323.1361773082
2022-03-24,1008827.4901506094,993246.671334789,1001250.2809336974,1001250.2809336974,1001250.2809336974,1001250.2809336974,1001250.2809336974,1005633.4032422851,1001250.2809336974,1001250.2809336974,1001250.2809336976,1001250.2809336974,1014574.096929843,1003904.6451789264,1001482.3201065306,1005650.1564226251,1004581.4590076236,1001250.2809336976,997544.029080193,1001250.2809336974,1001250.2809336974,1008827.4901506094,1003089.4258401048,1004121.1941391635
2022-03-25,1009362.6744872282,989553.6924058244,1001500.5246422195,1001500.5246422195,1001500.5246422195,1001500.5246422195,1001500.5246422195,1004688.0633525166,1001500.5246422195,1001500.5246422195,1001500.5246422195,1001500.5246422195,1010465.197755155,1000095.3508131909,996944.0390392061,1002272.4704134914,1001069.5429868748,1001500.5246422195,997856.2976076796,1001500.5246422195,1001500.5246422195,1009362.6744872282,999999.1932147262,1004070.2396875356
2022-03-28,1015418.826422569,998760.7953290528,1001750.830894458,1001750.830894458,1001750.830894458,1001750.830894458,1001750.830894458,1006255.5020851063,1001750.830894458,1001750.830894458,1001750.8308944582,1001750.830894458,1014529.9152182871,1007746.0127750788,1003497.699686757,1010310.8328035632,1009429.5058349157,1001750.8308944582,999563.6449436059,1001750.830894458,1001750.830894458,1015418.826422569,1008054.9534777581,1005625.795060687
2022-03-29,1017621.2747170394,1003702.71817219,1002001.1997060447,1002001.1997060447,1002001.1997060447,1002001.1997060447,1002001.1997060447,1005946.8437255298,1002001.1997060447,1002001.1997060447,1002001.1997060445,1002001.1997060447,1020615.2556458532,1012105.5462193971,1007409.4067127814,1014862.3507968871,1014044.8811485225,1002001.1997060445,998366.6352072711,1002001.1997060447,1002001.1997060447,1017621.2747170394,1011511.4388006423,1005325.0881319524
2022-03-30,1017522.5773329608,1010979.5270669165,1002251.6310926148,1002251.6310926148,1002251.6310926148,1002251.6310926148,1002251.6310926148,1006787.5842427831,1002251.6310926148,1002251.6310926148,1002251.6310926146,1002251.6310926148,1030803.5123080008,1019055.0577837771,1013673.9709642915,1022236.8529136558,1021254.3494733828,1002251.6310926146,1000887.2703839397,1002251.6310926148,1002251.6310926148,1017522.5773329608,1015862.9416753544,1006183.2946799017
2022-03-31,1017563.8452707407,1011720.2702158359,1001013.5043254691,1001385.0918844749,1001010.7246719811,1001381.7080729819,1001010.5449596395,1006253.3205820487,1001003.2791410512,1001012.734620986,1002502.1250698079,1001003.9478849784,1028830.0625251759,1019941.0355732242,1014603.454130752,1022700.6141079409,1022519.0384809781,1002502.1250698079,1000697.3935382313,1001012.8424630576,1001385.848575515,1017563.8452707407,1015086.9448037588,1005644.40428888
