,detector,start,end,regime,days
0,Threshold,2020-04-15,2020-06-17,Crisis,43
1,Threshold,2020-06-17,2020-06-18,Elevated,1
2,Threshold,2020-06-18,2020-06-23,Crisis,3
3,Threshold,2020-06-23,2020-06-24,Elevated,1
4,Threshold,2020-06-24,2020-06-25,Crisis,1
5,Threshold,2020-06-25,2020-07-20,Elevated,17
6,Threshold,2020-07-20,2020-07-21,Normal,1
7,Threshold,2020-07-21,2020-07-22,Elevated,1
8,Threshold,2020-07-22,2020-08-03,Normal,8
9,Threshold,2020-08-03,2020-08-12,Elevated,7
10,Threshold,2020-08-12,2020-08-28,Normal,12
11,Threshold,2020-08-28,2020-08-31,Calm,1
12,Threshold,2020-08-31,2020-09-02,Normal,2
13,Threshold,2020-09-02,2020-09-04,Calm,2
14,Threshold,2020-09-04,2020-09-24,Normal,14
15,Threshold,2020-09-24,2020-10-26,Elevated,21
16,Threshold,2020-10-26,2020-11-09,Normal,10
17,Threshold,2020-11-09,2020-11-13,Elevated,4
18,Threshold,2020-11-13,2020-12-08,Normal,16
19,Threshold,2020-12-08,2020-12-21,Calm,9
20,Threshold,2020-12-21,2021-01-18,Normal,19
21,Threshold,2021-01-18,2021-01-20,Elevated,2
22,Threshold,2021-01-20,2021-01-22,Calm,2
23,Threshold,2021-01-22,2021-02-01,Normal,5
24,Threshold,2021-02-01,2021-03-03,Crisis,22
25,Threshold,2021-03-03,2021-03-04,Elevated,1
26,Threshold,2021-03-04,2021-03-31,Crisis,17
27,Threshold,2021-03-31,2021-04-12,Elevated,7
28,Threshold,2021-04-12,2021-04-29,Crisis,11
29,Threshold,2021-04-29,2021-04-30,Elevated,1
30,Threshold,2021-04-30,2021-05-03,Crisis,1
31,Threshold,2021-05-03,2021-05-14,Elevated,8
32,Threshold,2021-05-14,2021-05-19,Normal,3
33,Threshold,2021-05-19,2021-05-20,Elevated,1
34,Threshold,2021-05-20,2021-06-03,Normal,10
35,Threshold,2021-06-03,2021-10-29,Calm,102
36,Threshold,2021-10-29,2021-11-09,Normal,6
37,Threshold,2021-11-09,2021-11-11,Calm,2
