,strategy,annual_volatility,total_return
0,BuyHold_SLTP,0.044653059301756975,0.026018396255512277
1,MaxSharpe,0.18213363507354746,-0.10553193458478172
2,MA_20_50,0.04491905205441935,0.013163947109246621
3,BuyHold,0.11351954780143371,-0.09296616459126195
4,EqualWeight,0.11027368598773285,-0.09961909865501162
5,InverseVol,0.11079069453248609,-0.10146919219255246
6,RiskParity,0.11048225592202664,-0.1016640819582102
7,MomentumPullback,0.026430269749139226,0.017646101475178755
8,EqualWeight+Regime,0.08193795500935688,-0.0692718013778828
9,MinVariance,0.1122123145055228,-0.11978646959979522
10,RiskParity+Regime,0.08031997948146902,-0.07160542548582849
11,HRP,0.10803093602826312,-0.11702132380814245
12,VIX_Regime_Mom,0.031863387468620684,0.00174337877066022
13,HRP+Regime,0.07990946774621258,-0.08763310985199957
14,Sentiment_Momentum,0.045681467349798624,-0.030252416182291464
15,MomentumTilt,0.15794485327167818,-0.2285206910466293
16,Breakout_20,0.041534255905001136,-0.05447278176400472
17,Random,0.06342245630673238,-0.1651647372562649
18,RSI_35_60,3.013629056982402e-15,0.058631672514976474
